hanja,initial,medial,final,hangul,tone
搔,s,o,,소,L
繅,s,o,,소,L
掃,s,o,,소,R
燥,ts,o,,조,
掃,s,o,,소,
犒,k,o,,고,R
熬,,o,,오,L
翺,k,o,,고,L
螯,,o,,오,L
厫,,o,,오,L
獒,,o,,오,L
敖,,o,,오,L/R
傲,,o,,오,R
鏊,,o,,오,R
奡,,o,,오,H
敖,,o,,오,R
顥,h,o,,호,H
昊,h,o,,호,R
號,h,o,,호,R
勞,r,oi,,뢰,
牢,r,oi,,뢰,L
桃,t,u,,두,
套,tʰ,u,,투,
艘,s,u,,수,R
嫂,s,u,,수,R
尻,k,u,,구,
豹,pʰ,jo,,표,H
鮑,pʰ,jo,,표,H
茅,m,jo,,묘,
卯,m,jo,,묘,R
嘲,t,jo,,됴,L
鐃,n,jo,,뇨,
鬧,n,jo,,뇨,R
鈔,tsʰ,jo,,쵸,L
鞘,s,jo,,쇼,L
弰,s,jo,,쇼,L
蛸,s,jo,,쇼,L
筲,s,jo,,쇼,L
笊,ts,jo,,죠,
炒,tsʰ,jo,,쵸,H
抄,tsʰ,jo,,쵸,H
稍,tsʰ,jo,,쵸,H
交,k,jo,,교,L
郊,k,jo,,교,L
膠,k,jo,,교,L
咬,k,jo,,교,L
蛟,k,jo,,교,L
絞,k,jo,,교,R
狡,k,jo,,교,R
鉸,k,jo,,교,R
教,k,jo,,교,R
校,k,jo,,교,R
酵,k,jo,,교,R
窖,k,jo,,교,R
覺,k,jo,,교,R
骹,k,jo,,교,L
磽,k,jo,,교,L
巧,k,jo,,교,R
咬,,jo,,요,R
齩,k,jo,,교,R
樂,,jo,,요,R
孝,h,jo,,효,R
哮,h,jo,,효,R
肴,h,jo,,효,L
效,h,jo,,효,R
坳,,jo,,요,L
包,pʰ,o,,포,L/H
苞,pʰ,o,,포,L
飽,pʰ,o,,포,R
泡,pʰ,o,,포,L
脬,pʰ,o,,포,L
砲,pʰ,o,,포,R
皰,pʰ,o,,포,R
跑,pʰ,o,,포,L
麅,pʰ,o,,포,L
庖,pʰ,o,,포,L
匏,pʰ,o,,포,L
咆,pʰ,o,,포,L
炮,pʰ,o,,포,L
鉋,pʰ,o,,포,L
齙,pʰ,o,,포,L
爪,ts,o,,조,R
笊,ts,o,,조,R
罺,ts,o,,조,
巢,s,o,,소,L
鞘,s,o,,소,L
弰,s,o,,소,L
蛸,s,o,,소,L
筲,s,o,,소,L
髇,h,o,,호,R
抓,ts,wa,,좌,R
棹,t,o,,도,R
茅,m,o,,모,L
抓,k,wa,,과,R
筲,tsʰ,jo,,쵸,L
蛸,tsʰ,jo,,쵸,L
嚙,tsʰ,i,,치,
梢,tsʰ,jo,,쵸,L
艄,tsʰ,jo,,쵸,L
鐃,,jo,,요,L
撓,,jo,,요,R
臕,pʰ,jo,,표,L
鑣,pʰ,jo,,표,L
表,pʰ,jo,,표,H
標,pʰ,jo,,표,H
飄,pʰ,jo,,표,L
漂,pʰ,jo,,표,L
剽,pʰ,jo,,표,H
瓢,pʰ,jo,,표,L
薸,pʰ,jo,,표,L
鰾,pʰ,jo,,표,R
苗,m,jo,,묘,L
描,m,jo,,묘,L
貓,m,jo,,묘,L
廟,m,jo,,묘,R/H
妙,m,jo,,묘,R
燎,r,jo,,료,R
療,r,jo,,료,
焦,tsʰ,jo,,쵸,L
蕉,tsʰ,jo,,쵸,L
椒,tsʰ,jo,,쵸,L
礁,tsʰ,jo,,쵸,L
鷦,tsʰ,jo,,쵸,L
鍬,tsʰ,jo,,쵸,L
樵,tsʰ,jo,,쵸,L
譙,tsʰ,jo,,쵸,L
憔,tsʰ,jo,,쵸,L
誚,tsʰ,jo,,쵸,R/H
消,s,jo,,쇼,L
宵,s,jo,,쇼,L
霄,s,jo,,쇼,
銷,s,jo,,쇼,L
焇,s,jo,,쇼,L
痟,s,jo,,쇼,L
綃,s,jo,,쇼,L
小,s,jo,,쇼,R
笑,s,jo,,쇼,R/H
朝,t,jo,,됴,L
超,tʰ,jo,,툐,L
朝,t,jo,,됴,L
潮,t,jo,,됴,L
晁,t,jo,,됴,L
趙,t,jo,,됴,R
兆,t,jo,,됴,R/L
照,ts,jo,,죠,R
詔,ts,jo,,죠,R
麨,tsʰ,jo,,쵸,R/H
燒,s,jo,,쇼,L
少,s,jo,,쇼,R
少,s,jo,,쇼,R
韶,s,jo,,쇼,L
召,s,jo,,쇼,R
邵,s,jo,,쇼,R
饒,z,jo,,ᅀᅭ,L
橈,z,jo,,ᅀᅭ,L
蕘,,jo,,요,L
嬈,,jo,,요,
擾,z,jo,,ᅀᅭ,R
繞,z,jo,,ᅀᅭ,R
遶,z,jo,,ᅀᅭ,
饒,z,jo,,ᅀᅭ,
驕,k,jo,,교,L
嬌,k,jo,,교,L/H
憍,k,jo,,교,L
矯,k,jo,,교,R/L
蹺,k,jo,,교,L
鞽,k,jo,,교,L
喬,k,jo,,교,L
橋,k,jo,,교,L
蕎,k,jo,,교,L
轎,k,jo,,교,R
妖,,jo,,요,L
腰,,jo,,요,L
要,,jo,,요,L
夭,,jo,,요,L
夭,,jo,,요,R
要,,jo,,요,R
搖,,jo,,요,L
陶,,jo,,요,L
遥,,jo,,요,L
瑤,,jo,,요,L
軺,,jo,,요,L
舀,,jo,,요,R
曜,,jo,,요,R
鷂,,jo,,요,R
搖,,jo,,요,R
囂,,ɨ,n,은,L
招,tʰ,jo,,툐,L
弨,tʰ,jo,,툐,L
昭,s,jo,,쇼,L
沼,s,jo,,쇼,R
鴞,h,jo,,효,L
肖,tsʰ,jo,,쵸,R
悄,tsʰ,jo,,쵸,R
貂,t,jo,,됴,L
雕,t,jo,,됴,L
鵰,t,jo,,됴,L
凋,t,jo,,됴,L
彫,t,jo,,됴,L
琱,t,jo,,됴,L
鳥,t,jo,,됴,H
釣,t,jo,,됴,H
弔,t,jo,,됴,H
挑,tʰ,jo,,툐,
糶,t,jo,,됴,R/H
朓,t,jo,,됴,R
條,t,jo,,됴,L
條,tʰ,jo,,툐,L
調,t,jo,,됴,L
跳,t,jo,,됴,L
蜩,t,jo,,됴,L
鰷,t,jo,,됴,L
齠,t,jo,,됴,L
調,t,jo,,됴,H
蓧,t,jo,,됴,H
尿,n,jo,,뇨,R
遼,r,jo,,료,L
撩,r,jo,,료,L
翏,r,jo,,료,
寥,r,jo,,료,
獠,r,jo,,료,L
僚,r,jo,,료,L
鷯,r,jo,,료,L
寮,r,jo,,료,R
了,r,jo,,료,R/H
繚,r,jo,,료,R
蓼,r,jo,,료,R
鐐,r,jo,,료,R
蕭,s,jo,,쇼,L
簫,s,jo,,쇼,L
蠨,s,jo,,쇼,L
嘯,s,jo,,쇼,R
梟,h,jo,,효,L
徼,,jo,,요,L
皦,k,jo,,교,R
叫,k,jo,,교,R
徼,k,jo,,교,R
堯,,jo,,요,L
曉,h,jo,,효,R
掉,t,o,,도,
部,p,o,,보,H
某,m,o,,모,R
畝,m,o,,모,R
牡,m,o,,모,R
拇,m,o,,모,R
母,m,o,,모,R
莽,m,o,,모,H
姆,m,o,,모,R
兜,t,o,,도,L
篼,t,o,,도,L
透,tʰ,o,,토,
鍮,tʰ,o,,토,
頭,tʰ,o,,토,
潄,s,o,,소,
扣,k,o,,고,H
叩,k,o,,고,H
畝,m,jo,,묘,R
剖,p,u,,부,R
裒,p,u,,부,H
抔,p,u,,부,R
部,p,u,,부,H
斗,t,u,,두,H
抖,t,u,,두,H
蚪,t,u,,두,H
鬪,tʰ,u,,투,R/H
耨,n,u,,누,R
縷,r,u,,루,L
簍,r,u,,루,L
螻,r,u,,루,L
走,ts,u,,주,R
奏,ts,u,,주,R
鉤,k,u,,구,L
溝,k,u,,구,L
冓,k,u,,구,L
篝,k,u,,구,L
韝,k,u,,구,L
狗,k,u,,구,R/H
垢,k,u,,구,R
笱,k,u,,구,R
侯,h,u,,후,L
喉,h,u,,후,L/R
猴,h,u,,후,L
睺,h,u,,후,
鍮,t,ju,,듀,L
歐,k,u,,구,L
甌,k,u,,구,L
鷗,k,u,,구,L
謳,k,u,,구,L
蓲,k,u,,구,R
嘔,k,u,,구,R
漚,k,u,,구,R
戊,m,u,,무,R
茂,m,u,,무,R
貿,m,u,,무,R
楙,m,u,,무,R
偷,tʰ,u,,투,L
透,tʰ,u,,투,R/H
投,tʰ,u,,투,L
骰,tʰ,u,,투,L
牏,tʰ,u,,투,L
頭,t,u,,두,L
豆,t,u,,두,R/H
痘,t,u,,두,H
竇,t,u,,두,H
荳,t,u,,두,H
脰,t,u,,두,H
餖,t,u,,두,H
髏,r,u,,루,L
樓,r,u,,루,L
摟,r,u,,루,L
蔞,r,u,,루,R
婁,r,u,,루,L/R
耬,r,u,,루,R
漏,r,u,,루,R
瘻,r,u,,루,R
陋,r,u,,루,R
鏤,r,u,,루,L
腠,ts,u,,주,R
叟,s,u,,수,R
擻,s,u,,수,R
瞍,s,u,,수,R
藪,s,u,,수,R
嗽,s,u,,수,R
潄,s,u,,수,R
苟,k,u,,구,R
彀,k,u,,구,R
構,k,u,,구,R
購,k,u,,구,R
覯,k,u,,구,R
雊,k,u,,구,R
雊,h,u,,후,R
摳,k,u,,구,L
彄,k,u,,구,L
口,k,u,,구,R
叩,k,u,,구,R
釦,k,u,,구,R
寇,k,u,,구,R
簆,k,u,,구,R
鷇,k,u,,구,R
藕,,u,,우,R
偶,,u,,우,R
耦,,u,,우,R
腢,,u,,우,R
糇,h,u,,후,L
帿,h,u,,후,L
吼,h,u,,후,R
後,h,u,,후,R
厚,h,u,,후,R
后,h,u,,후,R/H
候,h,u,,후,R
逅,h,u,,후,R
鍭,h,u,,후,L
堠,h,u,,후,R
鷲,tsʰ,ju,k,츅,
丑,tʰ,ju,k,튝,H
呪,ts,ju,k,쥭,
呪,tsʰ,ju,k,츅,
僦,tsʰ,jui,,ᄎᆔ,R
就,tsʰ,jui,,ᄎᆔ,R
醜,tsʰ,jui,,ᄎᆔ,R
臭,tsʰ,jui,,ᄎᆔ,R
不,p,u,,부,
否,p,u,,부,R
不,p,u,,부,
缶,p,u,,부,R
殕,p,u,,부,R
缹,p,u,,부,R
富,p,u,,부,R
副,p,u,,부,R
覆,p,u,,부,R
浮,p,u,,부,L
鄹,tsʰ,u,,추,L
皺,tsʰ,u,,추,L
縐,tsʰ,u,,추,L
篘,tsʰ,u,,추,L
愁,s,u,,수,L
醜,tsʰ,u,,추,L
鳩,k,u,,구,L
鬮,k,u,,구,L
九,k,u,,구,R/H
久,k,u,,구,R
韭,k,u,,구,R
救,k,u,,구,R
究,k,u,,구,R/H
疚,k,u,,구,R
廏,k,u,,구,R
丘,k,u,,구,L
朽,h,u,,후,R
嗅,h,u,,후,R
憂,,u,,우,L
優,,u,,우,L
耰,,u,,우,L
麀,,u,,우,L
尤,,u,,우,L
緅,tsʰ,ju,,츄,L
甃,tsʰ,ju,,츄,L
九,k,ju,,규,H
蜉,p,u,,부,L
芣,p,u,,부,L
婦,p,u,,부,H
負,p,u,,부,R
阜,p,u,,부,R
蝜,p,u,,부,R
復,p,u,,부,R
廋,s,u,,수,L
蒐,s,u,,수,L
溲,s,u,,수,L
螋,s,u,,수,L
瘦,s,u,,수,R
蚯,k,u,,구,L
糗,k,u,,구,R
求,k,u,,구,L
球,k,u,,구,L
仇,k,u,,구,L
裘,k,u,,구,L
毬,k,u,,구,L
梂,k,u,,구,L
臼,k,u,,구,R
舅,k,u,,구,R
咎,k,u,,구,R
舊,k,u,,구,R
柩,k,u,,구,R
牛,,u,,우,L
疣,,u,,우,L
右,,u,,우,R
友,,u,,우,R
又,,u,,우,R
佑,,u,,우,R
祐,,u,,우,R
紐,n,ju,,뉴,R
扭,n,ju,,뉴,R
鈕,n,ju,,뉴,R
杻,r,ju,,류,R
流,r,ju,,류,L
劉,r,ju,,류,L
留,r,ju,,류,L
榴,r,ju,,류,L
酒,ts,ju,,쥬,H
秋,tsʰ,ju,,츄,L
鞦,tsʰ,ju,,츄,L
鞦,ts,ju,,쥬,
鰍,tsʰ,ju,,츄,L
楸,tsʰ,ju,,츄,L
湫,tsʰ,ju,,츄,L
鶖,tsʰ,ju,,츄,L
鞧,tsʰ,ju,,츄,L
鷲,tsʰ,ju,,츄,R
修,s,ju,,슈,L
羞,s,ju,,슈,L
饈,s,ju,,슈,L
輈,t,ju,,듀,L
丑,tʰ,ju,,튜,R/H
稠,t,ju,,듀,L
籌,t,ju,,듀,L
紬,t,ju,,듀,L
儔,t,ju,,듀,L
疇,t,ju,,듀,L
肘,t,ju,,듀,L
周,ts,ju,,쥬,L
舟,ts,ju,,쥬,L
州,t,ju,,듀,L
州,ts,ju,,쥬,L
洲,ts,ju,,쥬,L
賙,ts,ju,,쥬,L
箒,ts,ju,,쥬,
箒,tsʰ,ju,,츄,H
祝,tsʰ,ju,,츄,
呪,ts,ju,,쥬,H
呪,tsʰ,ju,,츄,
收,s,ju,,슈,L
手,s,ju,,슈,H
首,s,ju,,슈,H
守,s,ju,,슈,H
獸,s,ju,,슈,H
休,h,ju,,휴,L
鵂,h,ju,,휴,L
有,,ju,,유,R
囿,,ju,,유,R
由,,ju,,유,L
油,,ju,,유,L
游,,ju,,유,L
遊,,ju,,유,L
猶,,ju,,유,L
蚰,,ju,,유,L
輶,,ju,,유,L
攸,,ju,,유,L
琉,r,ju,,류,L
瑠,r,ju,,류,L
鶹,r,ju,,류,L
柳,r,ju,,류,R
罶,r,ju,,류,R
溜,r,ju,,류,R
餾,r,ju,,류,R
瘤,r,ju,,류,R
秀,s,ju,,슈,H
繡,s,ju,,슈,H
宿,s,ju,,슈,H
銹,s,ju,,슈,H
囚,s,ju,,슈,L
泅,s,ju,,슈,L
泅,tsʰ,ju,,츄,L
袖,s,ju,,슈,H
岫,s,ju,,슈,H
杻,tsʰ,ju,,츄,R
紂,t,ju,,듀,H
晝,t,ju,,듀,R
宙,t,ju,,듀,R
冑,t,ju,,듀,R
狩,s,ju,,슈,H
讎,s,ju,,슈,L
酬,s,ju,,슈,L
受,s,ju,,슈,R/H
壽,s,ju,,슈,H
授,s,ju,,슈,H
售,s,ju,,슈,H
柔,z,ju,,ᅀᅲ,L
葇,z,ju,,ᅀᅲ,L
繇,,ju,,유,L
猷,,ju,,유,L
悠,,ju,,유,L
斿,,ju,,유,L
蝣,,ju,,유,L
酉,,ju,,유,R
莠,,ju,,유,R
誘,,ju,,유,R
牖,,ju,,유,R
柚,,ju,,유,R
鼬,,ju,,유,
謀,m,o,,모,L
矛,m,o,,모,L
眸,m,o,,모,L
鍪,m,o,,모,L
麰,m,o,,모,L
蝥,m,o,,모,L
糾,k,ju,,규,H
幽,,ju,,유,R
幼,,ju,,유,R
謬,n,ju,,뉴,R
鐕,ts,ə,m,ᄌᆞᆷ,
簪,ts,ə,m,ᄌᆞᆷ,L
蠶,ts,ə,m,ᄌᆞᆷ,L
糝,s,ə,m,ᄉᆞᆷ,R
參,s,ə,m,ᄉᆞᆷ,L
蔘,s,ə,m,ᄉᆞᆷ,L
耽,tʰ,a,m,탐,L
耽,t,a,m,담,L
貪,tʰ,a,m,탐,L
探,tʰ,a,m,탐,L
潭,t,a,m,담,L
曇,t,a,m,담,L
蟫,t,a,m,담,L
壜,t,a,m,담,L
藫,t,a,m,담,L
禫,t,a,m,담,R
萏,t,a,m,담,L
南,n,a,m,남,L
男,n,a,m,남,L
嵐,n,a,m,남,L
婪,r,a,m,람,L
鐕,ts,a,m,잠,
揝,ts,a,m,잠,R
參,tsʰ,a,m,참,L
慘,tsʰ,a,m,참,L
感,k,a,m,감,R
堪,k,a,m,감,L
龕,k,a,m,감,L
戡,k,a,m,감,L
坎,k,a,m,감,R
紺,k,a,m,감,R
勘,k,a,m,감,
墈,k,a,m,감,R
含,h,a,m,함,L
函,h,a,m,함,L
頷,h,a,m,함,L
涵,h,a,m,함,L
撼,k,a,m,감,R
撼,h,a,m,함,R
頷,h,a,m,함,
陰,,a,m,암,L
庵,,a,m,암,L
暗,,a,m,암,R
糝,tsʰ,a,m,참,R
南,n,a,,나,L
菡,h,a,m,함,R
憾,k,a,m,감,R
闇,,a,m,암,R
答,t,a,p,답,H
荅,t,a,p,답,H
踏,t,a,p,답,H
錔,t,a,p,답,H
納,n,a,p,납,H
衲,n,a,p,납,H
咂,ts,a,p,잡,H
匝,ts,a,p,잡,H
雜,ts,a,p,잡,H
蛤,h,a,p,합,H
鴿,h,a,p,합,H
閤,h,a,p,합,H
合,h,a,p,합,H
罨,,a,p,압,H
擔,t,a,m,담,L
膽,t,a,m,담,R
擔,t,a,m,담,R
耼,t,a,m,담,L
毯,t,a,m,담,R
菼,t,a,m,담,R
談,t,a,m,담,L
痰,t,a,m,담,L
澹,t,a,m,담,L
澹,t,a,m,담,R
噉,t,a,m,담,R
淡,t,a,m,담,R/L
藍,r,a,m,람,L
籃,r,a,m,람,L
襤,r,a,m,람,L
覽,r,a,m,람,R
攬,r,a,m,람,R
爁,r,a,m,람,R
纜,r,a,m,람,R
慚,tsʰ,a,m,참,L
暫,ts,a,m,잠,R
蹔,ts,a,m,잠,
三,s,a,m,삼,L
甘,k,a,m,감,L
柑,k,a,m,감,L
泔,k,a,m,감,L
疳,k,a,p,갑,
坩,k,a,m,감,L
瞰,k,a,m,감,R
憨,h,a,m,함,L
塔,tʰ,a,p,탑,H
搭,tʰ,a,p,탑,H
榻,tʰ,a,p,탑,H
塌,tʰ,a,p,탑,H
臘,r,a,p,랍,H
鑞,r,a,p,랍,H
蠟,r,a,p,랍,H
磕,h,a,p,합,
瞌,h,a,p,합,
榼,h,a,p,합,H
嗑,h,a,p,합,
盍,h,a,p,합,H
甘,k,a,n,간,
蠟,r,a,,라,
坍,t,a,n,단,L
洽,h,ɨ,p,흡,H
恰,h,ɨ,p,흡,
湛,t,a,m,담,R
賺,ts,a,m,잠,R
賺,t,a,m,담,R
蘸,ts,a,m,잠,R
讒,tsʰ,a,m,참,L
饞,tsʰ,a,m,참,L
杉,s,a,m,삼,L
緘,h,a,m,함,L
咸,h,a,m,함,L
函,h,a,m,함,L
鹹,h,a,m,함,L
陷,h,a,m,함,R
餡,h,a,m,함,R
黯,,a,m,암,R
劄,ts,a,p,잡,H
插,s,a,p,삽,H
鍤,s,a,p,삽,H
牐,ts,a,p,잡,H
煠,ts,a,p,잡,H
歃,s,a,p,삽,H
箑,s,a,p,삽,H
鹻,k,je,m,겸,R
裌,h,je,p,협,H
跲,k,je,p,겹,H
掐,k,je,p,겹,H
衫,s,a,n,산,
夾,k,ja,,갸,
斬,tsʰ,a,m,참,R
站,tsʰ,a,m,참,R
懺,tsʰ,a,m,참,R
衫,s,a,m,삼,L
監,k,a,m,감,L
鑑,k,a,m,감,R
嵌,k,a,m,감,L
巖,,a,m,암,L
岩,,a,m,암,
銜,h,a,m,함,L
艦,h,a,m,함,R
檻,h,a,m,함,R
甲,k,a,p,갑,H
胛,k,a,p,갑,H
匣,k,a,p,갑,H
狎,,a,p,압,H
柙,h,a,p,합,H
鴨,,a,p,압,H
押,,a,p,압,H
壓,,a,p,압,H
甲,k,ja,,갸,
潛,ts,ə,m,ᄌᆞᆷ,L
芡,k,a,m,감,R
俺,,a,m,암,L
葉,n,i,p,닙,H
貶,pʰ,je,m,폄,R
廉,r,je,m,렴,L
鐮,r,je,m,렴,L
匳,r,je,m,렴,L
簾,r,je,m,렴,L
帘,r,je,m,렴,L
臁,r,je,m,렴,L
斂,r,je,m,렴,R
歛,r,je,m,렴,R
殮,r,je,m,렴,R
漸,ts,je,m,졈,L
籤,ts,je,m,졈,L
塹,ts,je,m,졈,
漸,ts,je,m,졈,R
諂,tʰ,je,m,텸,R/L
覘,t,je,m,뎜,R
瞻,ts,je,m,졈,L
占,ts,je,m,졈,R
襜,ts,je,m,졈,L
韂,tsʰ,je,m,쳠,L
苫,s,je,m,셤,R
蟾,s,je,m,셤,L
髯,z,je,m,ᅀᅧᆷ,L
枏,z,je,m,ᅀᅧᆷ,L
染,z,je,m,ᅀᅧᆷ,R
冉,z,je,m,ᅀᅧᆷ,R
鉗,k,je,m,겸,L
黶,,je,m,염,R
檿,,je,m,염,R
燄,,je,m,염,R
扊,,je,m,염,R
厭,,je,m,염,R
猒,,je,m,염,
炎,,je,m,염,L
鹽,,je,m,염,L
閻,,je,m,염,L
閻,z,je,m,ᅀᅧᆷ,L
簷,tsʰ,je,m,쳠,L
豔,,je,m,염,R
焰,,je,m,염,
臉,r,je,m,렴,R
鐮,k,je,m,겸,L
獦,k,a,r,갈,H
苫,ts,je,m,졈,L
苫,ts,je,m,졈,R
驗,h,e,m,험,R
痁,ts,je,m,졈,L
鑷,n,je,p,녑,H
獵,r,je,p,렵,H
鬣,r,je,p,렵,H
接,ts,je,p,졉,H
睫,tsʰ,je,p,쳡,H
椄,ts,je,p,졉,H
妾,tsʰ,je,p,쳡,H
輒,tʰ,je,p,텹,H
攝,s,je,p,셥,H
葉,s,je,p,셥,H
韘,s,je,p,셥,H
涉,s,je,p,셥,H
曄,n,je,p,녑,H
饁,n,je,p,녑,H
葉,,je,p,엽,H
帘,r,e,m,럼,L
檢,k,e,m,검,R
臉,k,e,m,검,R
撿,k,e,m,검,R
黔,k,e,m,검,L
儉,k,e,m,검,R
險,h,e,m,험,R
嶮,h,e,m,험,R
淹,,e,m,엄,L/R
醃,,e,m,엄,L
掩,,e,m,엄,R
揜,,e,m,엄,R
閹,,e,m,엄,R
厭,,a,n,안,R
閃,s,je,n,션,
劍,k,e,m,검,R
嚴,,e,m,엄,L
儼,,e,m,엄,R
釅,,e,m,엄,R
蘝,h,e,m,험,R
劫,k,e,p,겁,H
怯,k,e,p,겁,H
業,,e,p,업,H
鄴,,e,p,업,H
脇,h,e,p,헙,H
乏,pʰ,i,p,핍,H
凡,p,e,m,범,L
帆,p,e,m,범,L
范,p,e,m,범,R
範,p,e,m,범,R
犯,p,e,m,범,R
梵,p,e,m,범,R
法,p,e,p,법,H
法,pʰ,a,,파,
欠,h,ɨ,m,흠,R
杴,h,ɨ,m,흠,L
脇,h,je,p,협,H
莢,h,i,p,힙,L
點,t,je,m,뎜,R/H
店,t,je,m,뎜,R
坫,t,je,m,뎜,R
添,tʰ,je,m,텸,L
沾,tʰ,je,m,텸,L
舔,tʰ,je,m,텸,R
忝,tʰ,je,m,텸,R/H
甜,tʰ,je,m,텸,L
簟,t,je,m,뎜,R
鮎,n,je,m,념,L
拈,n,je,m,념,L
拈,r,je,m,렴,L
念,n,je,m,념,R
念,r,je,m,렴,R
濂,r,je,m,렴,L
兼,k,je,m,겸,L
蒹,k,je,m,겸,L
縑,k,je,m,겸,L
謙,k,je,m,겸,L
歉,k,je,m,겸,R
慊,k,je,m,겸,R
嫌,h,je,m,혐,L
帖,tʰ,je,p,텹,H
貼,tʰ,je,p,텹,H
牒,tʰ,je,p,텹,H
蝶,t,je,p,뎝,H
氎,t,je,p,뎝,
楪,t,je,p,뎝,H
捻,n,je,p,녑,H
莢,h,je,p,협,H
頰,h,je,p,협,H
筴,h,je,p,협,H
鋏,h,je,p,협,H
蛺,h,je,p,협,H
謙,k,je,p,겹,H
篋,h,je,p,협,H
協,h,je,p,협,H
俠,h,je,p,협,H
挾,h,je,p,협,H
鮎,t,je,m,뎜,L
鮎,ts,je,m,졈,L
拈,ts,je,m,졈,L
捻,n,je,m,념,H
恬,n,je,m,념,L
浹,h,je,p,협,
簪,ts,ə,m,ᄌᆞᆷ,L
譖,tsʰ,ə,m,ᄎᆞᆷ,R
讖,ts,ə,m,ᄌᆞᆷ,R
讖,tsʰ,ə,m,ᄎᆞᆷ,R
岑,ts,ə,m,ᄌᆞᆷ,
涔,ts,ə,m,ᄌᆞᆷ,L
梣,ts,ə,m,ᄌᆞᆷ,L
參,s,ə,m,ᄉᆞᆷ,L
蔘,s,ə,m,ᄉᆞᆷ,L
箴,ts,ə,m,ᄌᆞᆷ,L
甚,s,ə,m,ᄉᆞᆷ,H
瘖,,a,m,암,L
澀,s,a,p,삽,
賃,,i,m,임,R
稔,n,je,m,념,R
瀋,s,i,m,심,R
諶,tʰ,i,m,팀,L
賃,n,i,m,님,R
恁,n,i,m,님,R
林,r,i,m,림,L
臨,r,i,m,림,L
霖,r,i,m,림,L
臨,r,i,m,림,R
浸,tsʰ,i,m,침,R/H
侵,tsʰ,i,m,침,L
寢,tsʰ,i,m,침,R
蕈,s,i,m,심,R
心,s,i,m,심,L
尋,s,i,m,심,L
燖,s,i,m,심,L
鬵,s,i,m,심,L
砧,tʰ,i,m,팀,L
椹,s,i,m,심,L
沉,tʰ,i,m,팀,L
湛,tʰ,i,m,팀,L
朕,t,i,m,딤,R
蔘,s,i,m,심,
駸,tsʰ,i,m,침,
梣,s,i,m,심,
斟,ts,i,m,짐,L
斟,tsʰ,i,m,침,L
鍼,tsʰ,i,m,침,L
箴,tsʰ,i,m,침,L
枕,tsʰ,i,m,침,R
葚,s,i,m,심,R
深,s,i,m,심,L
審,s,i,m,심,R
嬸,s,i,m,심,R
甚,s,i,m,심,R
壬,z,i,m,ᅀᅵᆷ,L/R
稔,n,i,m,님,R
衽,z,i,m,ᅀᅵᆷ,R
荏,z,i,m,ᅀᅵᆷ,R
飪,z,i,m,ᅀᅵᆷ,R
任,z,i,m,ᅀᅵᆷ,R
紝,z,i,m,ᅀᅵᆷ,R
妊,z,i,m,ᅀᅵᆷ,R
絍,z,i,m,ᅀᅵᆷ,R
金,k,i,m,김,L
立,r,i,p,립,H
笠,r,i,p,립,H
粒,r,i,p,립,H
苙,r,i,p,립,H
集,ts,i,p,집,H
執,ts,i,p,집,H
十,s,i,p,십,H
入,z,i,p,ᅀᅵᆸ,H
檁,r,ɨ,m,름,R
闖,tʰ,ɨ,m,틈,
今,k,ɨ,m,금,L
金,k,ɨ,m,금,L
歆,h,ɨ,m,흠,L
音,,ɨ,m,음,L
凜,r,ɨ,m,름,R
廩,r,ɨ,m,름,R
襟,k,ɨ,m,금,L
錦,k,ɨ,m,금,R
禁,k,ɨ,m,금,R
欽,h,ɨ,m,흠,L
衾,k,ɨ,m,금,L
琴,k,ɨ,m,금,L
禽,k,ɨ,m,금,L
擒,k,ɨ,m,금,L
檎,k,ɨ,m,금,L
噙,k,ɨ,m,금,L
妗,k,ɨ,m,금,R
吟,,ɨ,m,음,L
陰,,ɨ,m,음,L
飲,,ɨ,m,음,R
窨,,ɨ,m,음,L
飲,n,i,m,님,H
淫,,ɨ,m,음,L
婬,,ɨ,m,음,L
緝,ts,ɨ,p,즙,H
葺,ts,ɨ,p,즙,H
楫,ts,ɨ,p,즙,H
習,s,ɨ,p,습,H
襲,s,ɨ,p,습,H
蕺,ts,ɨ,p,즙,H
澀,s,ɨ,p,습,
汁,ts,ɨ,p,즙,H
濕,s,ɨ,p,습,H
什,s,ɨ,p,습,H
拾,s,ɨ,p,습,H
急,k,ɨ,p,급,H
級,k,ɨ,p,급,H
給,k,ɨ,p,급,H
汲,k,ɨ,p,급,H
泣,,ɨ,p,읍,H
及,k,ɨ,p,급,H
笈,k,ɨ,p,급,H
吸,h,ɨ,p,흡,H
翕,h,ɨ,p,흡,H
挹,,ɨ,p,읍,H
揖,,ɨ,p,읍,H
邑,,ɨ,p,읍,H
浥,,ɨ,p,읍,H
稟,pʰ,u,m,품,R/H
品,pʰ,u,m,품,R
梣,ts,i,n,진,L
十,s,i,,시,
散,s,wa,n,솬,
丹,t,a,n,단,L
丹,r,a,n,란,L
單,t,a,n,단,L
箪,t,a,n,단,L
襌,t,a,n,단,L
担,t,a,n,단,R
旦,t,a,n,단,R
疸,t,a,n,단,R
灘,tʰ,a,n,탄,L
攤,tʰ,a,n,탄,L
擹,tʰ,a,n,탄,L
坦,t,a,n,단,R
炭,tʰ,a,n,탄,R
歎,tʰ,a,n,탄,R/H
嘆,tʰ,a,n,탄,R/H
檀,t,a,n,단,L
